Anchor;A;B;Annotator00;Annotator04;Annotator02;Annotator05;Annotator06;Annotator08;Annotator07;Annotator10;Annotator01;Annotator09;Annotator03
Databases;Cryptography and Security;Information Retrieval;['B', 'B'];;;['B', 'B'];['B', 'B'];;['0', 'B'];;['A', 'A'];;
Databases;Cryptography and Security;Mathematical Software;['A'];;;;;['A'];;['0'];['A'];['0'];
Databases;Cryptography and Security;Networking and Internet Architecture;['A'];;;['B'];['0'];;['0'];;['A'];;
Databases;Digital Libraries;Computational Geometry;['A'];['A'];['A'];;;;;;['A'];;['A']
Databases;Digital Libraries;Cryptography and Security;['A'];;;['B'];['A'];;['A'];;['A'];;
Databases;Digital Libraries;Discrete Mathematics;['A'];;;;;['A'];;['A'];['A'];['A'];
Databases;Digital Libraries;Formal Languages and Automata Theory;['A'];;;;;['A'];;['A'];['A'];['A'];
Databases;Digital Libraries;Numerical Analysis;['B'];;;['A'];['A'];;['A'];;['A'];;
Databases;Discrete Mathematics;Artificial Intelligence;['A'];;;['0'];['B'];;['0'];;['B'];;
Databases;Discrete Mathematics;Computer Vision and Pattern Recognition;['0'];['B'];['0'];;;;;;['B'];;['A']
Databases;Discrete Mathematics;Distributed, Parallel, and Cluster Computing;['B'];['0'];['0'];;;;;;['B'];;['A']
Databases;Discrete Mathematics;Information Theory;['B'];;;;;['B'];;['0'];['0'];['0'];
Databases;Discrete Mathematics;Mathematical Software;['0'];;;;;['0'];;['0'];['0'];['0'];
Databases;Discrete Mathematics;Multimedia;['B'];;;;;['B'];;['B'];['B'];['0'];
Databases;Discrete Mathematics;Networking and Internet Architecture;['B'];;;;;['B'];;['0'];['B'];['0'];
Databases;Distributed, Parallel, and Cluster Computing;Artificial Intelligence;['A'];['B'];['A'];;;;;;['A'];;['A']
Databases;Distributed, Parallel, and Cluster Computing;Computation and Language;['A'];;;['A'];['A'];;['0'];;['A'];;
Databases;Distributed, Parallel, and Cluster Computing;Computer Vision and Pattern Recognition;['A'];['B'];['A'];;;;;;['A'];;['A']
Databases;Distributed, Parallel, and Cluster Computing;Cryptography and Security;['A'];;;;;['A'];;['A'];['A'];['A'];
Databases;Distributed, Parallel, and Cluster Computing;Information Retrieval;['B'];;;;;['B'];;['B'];['A'];['0'];
Databases;Distributed, Parallel, and Cluster Computing;Information Theory;['A'];;;;;['B'];;['A'];['A'];['0'];
Databases;Distributed, Parallel, and Cluster Computing;Machine Learning;['A'];['B'];['A'];;;;;;['A'];;['A']
Databases;Distributed, Parallel, and Cluster Computing;Multimedia;['A'];;;['A'];['A'];;['0'];;['A'];;
Databases;Distributed, Parallel, and Cluster Computing;Symbolic Computation;['A'];;;['A'];['A'];;['0'];;['A'];;
Databases;Formal Languages and Automata Theory;Computational Geometry;['0'];['B'];['0'];;;;;;['0'];;['0']
Databases;Formal Languages and Automata Theory;Computer Science and Game Theory;['0'];['B'];['B'];;;;;;['B'];;['0']
Databases;Formal Languages and Automata Theory;Information Retrieval;['B'];;;['B'];['B'];;['0'];;['B'];;
Databases;Formal Languages and Automata Theory;Information Theory;['B'];;;;;['B'];;['B'];['0'];['0'];
Databases;Formal Languages and Automata Theory;Logic in Computer Science;['B', '0'];;;['0', 'A'];['0', '0'];;['0', '0'];;['0', '0'];;
Databases;Formal Languages and Automata Theory;Mathematical Software;['0'];['0'];['B'];;;;;;['0'];;['B']
Databases;Formal Languages and Automata Theory;Multimedia;['B'];['B'];['B'];;;;;;['B'];;['0']
Databases;Formal Languages and Automata Theory;Networking and Internet Architecture;['B'];;;;;['B'];;['0'];['B'];['0'];
Databases;Formal Languages and Automata Theory;Software Engineering;['B'];['B'];['B'];;;;;;['B'];;['B']
Databases;Graphics;Computational Complexity;['A'];['B'];['A'];;;;;;['0'];;['B']
Databases;Graphics;Computer Vision and Pattern Recognition;['A'];['B'];['A'];;;;;;['0'];;['B']
Databases;Graphics;Logic in Computer Science;['A'];['B'];['A'];;;;;;['0'];;['0']
Databases;Graphics;Mathematical Software;['0'];;;['0'];['0'];;['0'];;['0'];;
Databases;Hardware Architecture;Computational Complexity;['A'];['B'];['B'];;;;;;['A'];;['0']
Databases;Hardware Architecture;Information Retrieval;['B'];;;;;['B'];;['b'];['A'];['0'];
Databases;Hardware Architecture;Mathematical Software;['A'];['B'];['B'];;;;;;['A'];;['A']
Databases;Hardware Architecture;Multiagent Systems;['0'];;;;;['0'];;['0'];['0'];['0'];
Databases;Hardware Architecture;Operating Systems;['0'];;;['0'];['0'];;['0'];;['B'];;
Databases;Hardware Architecture;Sound;['0'];['B'];['0'];;;;;;['A'];;['A']
Databases;Human-Computer Interaction;Computational Complexity;['B'];;;['0'];['0'];;['0'];;['0'];;
Databases;Human-Computer Interaction;Computer Science and Game Theory;['A'];;;;;['B'];;['B'];['0'];['0'];
Databases;Human-Computer Interaction;Machine Learning;['A'];['B'];['B'];;;;;;['B'];;['A']
Databases;Human-Computer Interaction;Multimedia;['B'];['B'];['B'];;;;;;['B'];;['A']
Databases;Human-Computer Interaction;Software Engineering;['B'];['A'];['B'];;;;;;['B'];;['A']
Databases;Human-Computer Interaction;Systems and Control;['B'];;;;;['0'];;['0'];['B'];['0'];
Databases;Information Retrieval;Numerical Analysis;['A'];;;;;['A'];;['A'];['A'];['0'];
Databases;Information Theory;Computer Vision and Pattern Recognition;['A'];['B'];['A'];;;;;;['B'];;['A']
Databases;Information Theory;Graphics;['A', 'A'];;;;;['A', 'A'];;['0', '0'];['0', '0'];['0', '0'];
Databases;Logic in Computer Science;Numerical Analysis;['0'];;;;;['0'];;['0'];['0'];['0'];
Databases;Logic in Computer Science;Systems and Control;['B', 'B'];;;;;['0', 'A'];;['0', 'B'];['B', 'B'];['0', '0'];
Databases;Machine Learning;Computational Complexity;['B'];;;['0'];['A'];;['0'];;['A'];;
Databases;Machine Learning;Formal Languages and Automata Theory;['0'];['B'];['A'];;;;;;['A'];;['0']
Databases;Machine Learning;Networking and Internet Architecture;['B'];['A'];['A'];;;;;;['A'];;['B']
Databases;Machine Learning;Sound;['0'];;;['0'];['A'];;['0'];;['A'];;
Databases;Mathematical Software;Symbolic Computation;['0'];;;;;['0'];;['0'];['0'];['0'];
Databases;Multiagent Systems;Computer Science and Game Theory;['0'];;;['0'];['0'];;['0'];;['0'];;
Databases;Multiagent Systems;Computer Vision and Pattern Recognition;['0'];;;['0'];['0'];;['0'];;['0'];;
Databases;Multiagent Systems;Discrete Mathematics;['0'];;;;;['0'];;['0'];['A'];['0'];
Databases;Multiagent Systems;Numerical Analysis;['0'];;;;;['0'];;['0'];['A'];['0'];
Databases;Multimedia;Computer Science and Game Theory;['A'];;;;;['B'];;['B'];['A'];['A'];
Databases;Multimedia;Graphics;['0'];;;['0'];['0'];;['0'];;['A'];;
Databases;Multimedia;Mathematical Software;['A'];;;;;['0'];;['A'];['A'];['A'];
Databases;Operating Systems;Information Theory;['A'];;;;;['A'];;['0'];['A'];['0'];
Databases;Operating Systems;Mathematical Software;['A'];;;;;['A'];;['0'];['A'];['0'];
Databases;Programming Languages;Cryptography and Security;['B'];['0'];['B'];;;;;;['A'];;['B']
Databases;Programming Languages;Distributed, Parallel, and Cluster Computing;['B'];;;['B'];['B'];;['0'];;['B'];;
Databases;Programming Languages;Machine Learning;['0'];;;['0'];['B'];;['0'];;['B'];;
Databases;Programming Languages;Networking and Internet Architecture;['B'];;;['0'];['0'];;['0'];;['B'];;
Databases;Programming Languages;Symbolic Computation;['0', 'A'];['0', '0'];['0', '0'];;;;;;['A', 'A'];;['A', '0']
Databases;Robotics;Computation and Language;['0'];;;;;['0'];;['0'];['A'];['0'];
Databases;Robotics;Computational Complexity;['0'];['B'];['B'];;;;;;['0'];;['B']
Databases;Robotics;Information Theory;['B'];;;;;['B'];;['0'];['A'];['0'];
Databases;Robotics;Multimedia;['B'];;;['0'];['0'];;['0'];;['B'];;
Databases;Robotics;Numerical Analysis;['0'];;;;;['0'];;['0'];['A'];['0'];
Databases;Software Engineering;Artificial Intelligence;['A', 'A'];['A', 'B'];['A', '0'];;;;;;['A', 'A'];;['A', 'A']
Databases;Software Engineering;Cryptography and Security;['A'];['A'];['A'];;;;;;['A'];;['A']
Databases;Software Engineering;Graphics;['A'];['A'];['A'];;;;;;['A'];;['A']
Databases;Software Engineering;Logic in Computer Science;['A', 'A'];['A', '0'];['A', 'A'];;;;;;['A', 'A'];;['A', 'A']
Databases;Software Engineering;Numerical Analysis;['B'];;;['0'];['0'];;['0'];;['A'];;
Databases;Sound;Logic in Computer Science;['A'];['0'];['A'];;;;;;['A'];;['B']
Databases;Sound;Multimedia;['B'];;;;;['0'];;['B'];['0'];['0'];
Databases;Sound;Networking and Internet Architecture;['B'];['0'];['B'];;;;;;['A'];;['B']
Databases;Sound;Numerical Analysis;['B'];;;['0'];['0'];;['0'];;['0'];;
Databases;Sound;Systems and Control;['B'];;;;;['0'];;['0'];['B'];['0'];
Databases;Systems and Control;Mathematical Software;['A'];;;['0'];['0'];;['0'];;['A'];;
Databases;Systems and Control;Networking and Internet Architecture;['0'];;;['0'];['0'];;['0'];;['0'];;
Databases;Systems and Control;Symbolic Computation;['A'];['0'];['A'];;;;;;['A'];;['A']
Digital Libraries;Artificial Intelligence;Networking and Internet Architecture;['B'];['A'];['B'];;;;;;['A'];;['B']
Digital Libraries;Computation and Language;Computational Complexity;['A'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Computation and Language;Graphics;['A'];['A'];['B'];;;;;;['A'];;['A']
Digital Libraries;Computation and Language;Mathematical Software;['A'];['A'];['B'];;;;;;['A'];;['A']
Digital Libraries;Computation and Language;Multimedia;['B', 'A'];['B', 'B'];['B', 'B'];;;;;;['B', 'B'];;['B', 'B']
Digital Libraries;Computational Complexity;Computer Science and Game Theory;['A'];;;;;['B'];;['0'];['0'];['0'];
Digital Libraries;Computational Complexity;Networking and Internet Architecture;['A'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Computational Complexity;Numerical Analysis;['B'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Computational Geometry;Graphics;['A'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Computational Geometry;Information Retrieval;['B'];;;;;['B'];;['B'];['B'];['B'];
Digital Libraries;Computational Geometry;Numerical Analysis;['0'];['0'];['0'];;;;;;['A'];;['0']
Digital Libraries;Computer Science and Game Theory;Symbolic Computation;['0'];['0'];['A'];;;;;;['A'];;['0']
Digital Libraries;Computer Vision and Pattern Recognition;Computational Complexity;['A'];;;['0'];['0'];;['0'];;['A'];;
Digital Libraries;Computer Vision and Pattern Recognition;Numerical Analysis;['A'];['A'];['A'];;;;;;['0'];;['0']
Digital Libraries;Cryptography and Security;Graphics;['B'];['B'];['B'];;;;;;['B'];;['0']
Digital Libraries;Cryptography and Security;Numerical Analysis;['B'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Databases;Formal Languages and Automata Theory;['A'];['A'];['A'];;;;;;['A'];;['A']
Digital Libraries;Databases;Mathematical Software;['B'];;;['A'];['A'];;['A'];;['A'];;
Digital Libraries;Databases;Programming Languages;['A'];;;;;['A'];;['A'];['A'];['A'];
Digital Libraries;Databases;Software Engineering;['A'];;;;;['A'];;['A'];['A'];['A'];
Digital Libraries;Discrete Mathematics;Artificial Intelligence;['B'];['0'];['B'];;;;;;['B'];;['0']
Digital Libraries;Discrete Mathematics;Computer Science and Game Theory;['0'];['0'];['B'];;;;;;['B'];;['0']
Digital Libraries;Discrete Mathematics;Distributed, Parallel, and Cluster Computing;['B'];['0'];['B'];;;;;;['0'];;['0']
Digital Libraries;Discrete Mathematics;Formal Languages and Automata Theory;['B'];['A'];['B'];;;;;;['0'];;['0']
Digital Libraries;Discrete Mathematics;Graphics;['A'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Discrete Mathematics;Information Retrieval;['B'];;;['B'];['B'];;['B'];;['B'];;
Digital Libraries;Discrete Mathematics;Logic in Computer Science;['B'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Discrete Mathematics;Multimedia;['B'];;;;;['B'];;['0'];['B'];['B'];
Digital Libraries;Discrete Mathematics;Symbolic Computation;['B'];;;['0'];['0'];;['B'];;['0'];;
Digital Libraries;Distributed, Parallel, and Cluster Computing;Information Retrieval;['B'];['B'];['A'];;;;;;['B'];;['B']
Digital Libraries;Distributed, Parallel, and Cluster Computing;Machine Learning;['B'];;;['0'];['A'];;['0'];;['0'];;
Digital Libraries;Distributed, Parallel, and Cluster Computing;Numerical Analysis;['A'];;;;;['0'];;['0'];['A'];['0'];
Digital Libraries;Distributed, Parallel, and Cluster Computing;Operating Systems;['A'];['0'];['A'];;;;;;['0'];;['0']
Digital Libraries;Distributed, Parallel, and Cluster Computing;Symbolic Computation;['B', 'A'];;;['0', '0'];['A', 'A'];;['B', '0'];;['0', '0'];;
Digital Libraries;Distributed, Parallel, and Cluster Computing;Systems and Control;['A'];;;;;['0'];;['0'];['B'];['0'];
Digital Libraries;Formal Languages and Automata Theory;Graphics;['B'];['A'];['B'];;;;;;['B'];;['0']
Digital Libraries;Graphics;Computer Science and Game Theory;['0'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Graphics;Information Retrieval;['B'];;;['B'];['B'];;['B'];;['B'];;
Digital Libraries;Graphics;Systems and Control;['B'];['A'];['B'];;;;;;['A'];;['0']
Digital Libraries;Hardware Architecture;Computation and Language;['B'];['B'];['A'];;;;;;['0'];;['B']
Digital Libraries;Hardware Architecture;Computer Science and Game Theory;['0'];['A'];['B'];;;;;;['0'];;['0']
Digital Libraries;Hardware Architecture;Computer Vision and Pattern Recognition;['B'];['A'];['B'];;;;;;['B'];;['0']
Digital Libraries;Hardware Architecture;Cryptography and Security;['0'];;;;;['0'];;['0'];['A'];['0'];
Digital Libraries;Hardware Architecture;Formal Languages and Automata Theory;['B'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Hardware Architecture;Mathematical Software;['B'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Hardware Architecture;Operating Systems;['0'];;;;;['0'];;['0'];['A'];['0'];
Digital Libraries;Hardware Architecture;Programming Languages;['0'];['B'];['A'];;;;;;['0'];;['0']
Digital Libraries;Hardware Architecture;Software Engineering;['B'];;;;;['0'];;['0'];['B'];['0'];
Digital Libraries;Human-Computer Interaction;Computation and Language;['B', 'B'];;;;;['A', 'A'];;['B', 'B'];['A', 'A'];['0', 'B'];
Digital Libraries;Human-Computer Interaction;Mathematical Software;['A'];;;;;['A'];;['0'];['A'];['0'];
Digital Libraries;Human-Computer Interaction;Operating Systems;['A'];;;['0'];['0'];;['0'];;['A'];;
Digital Libraries;Information Retrieval;Symbolic Computation;['A'];['A'];['A'];;;;;;['0'];;['A']
Digital Libraries;Information Theory;Computational Complexity;['A'];;;['0'];['A'];;['0'];;['0'];;
Digital Libraries;Information Theory;Computer Science and Game Theory;['A'];;;['0'];['A'];;['0'];;['0'];;
Digital Libraries;Information Theory;Cryptography and Security;['A'];;;['0'];['A'];;['0'];;['0'];;
Digital Libraries;Information Theory;Multimedia;['B'];['B'];['B'];;;;;;['B'];;['A']
Digital Libraries;Logic in Computer Science;Artificial Intelligence;['B'];;;;;['0'];;['0'];['B'];['0'];
Digital Libraries;Machine Learning;Artificial Intelligence;['B'];['A'];['B'];;;;;;['0'];;['A']
Digital Libraries;Machine Learning;Computer Vision and Pattern Recognition;['A'];;;;;['0'];;['0'];['B'];['0'];
Digital Libraries;Machine Learning;Logic in Computer Science;['A'];;;;;['0'];;['0'];['A'];['0'];
Digital Libraries;Machine Learning;Sound;['A'];;;['0'];['0'];;['0'];;['B'];;
Digital Libraries;Machine Learning;Symbolic Computation;['A'];;;['0'];['0'];;['B'];;['0'];;
Digital Libraries;Machine Learning;Systems and Control;['A'];;;['0'];['0'];;['0'];;['B'];;
Digital Libraries;Mathematical Software;Computational Complexity;['A'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Mathematical Software;Numerical Analysis;['B'];['0'];['A'];;;;;;['0'];;['0']
Digital Libraries;Multiagent Systems;Artificial Intelligence;['B'];;;['0'];['B'];;['0'];;['0'];;
Digital Libraries;Multiagent Systems;Distributed, Parallel, and Cluster Computing;['B'];;;;;['0'];;['0'];['A'];['0'];
Digital Libraries;Multiagent Systems;Multimedia;['B'];['B'];['B'];;;;;;['B'];;['B']
Digital Libraries;Multiagent Systems;Robotics;['A'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Multiagent Systems;Sound;['A'];;;['0'];['0'];;['0'];;['B'];;
Digital Libraries;Multimedia;Logic in Computer Science;['A'];;;['A'];['0'];;['0'];;['A'];;
Digital Libraries;Multimedia;Systems and Control;['A'];;;;;['A'];;['0'];['A'];['0'];
Digital Libraries;Networking and Internet Architecture;Symbolic Computation;['A'];['0'];['A'];;;;;;['0'];;['0']
Digital Libraries;Numerical Analysis;Symbolic Computation;['0'];['0'];['A'];;;;;;['0'];;['0']
Digital Libraries;Operating Systems;Computational Complexity;['0'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Operating Systems;Formal Languages and Automata Theory;['A'];['B'];['A'];;;;;;['0'];;['0']
Digital Libraries;Operating Systems;Graphics;['B'];;;;;['B'];;['0'];['B'];['0'];
Digital Libraries;Operating Systems;Mathematical Software;['A'];['0'];['A'];;;;;;['0'];;['0']
Digital Libraries;Operating Systems;Multimedia;['B'];['B'];['B'];;;;;;['B'];;['B']
Digital Libraries;Operating Systems;Networking and Internet Architecture;['0'];;;;;['0'];;['0'];['0'];['0'];
Digital Libraries;Programming Languages;Computational Geometry;['0'];['0'];['0'];;;;;;['0'];;['0']
Digital Libraries;Programming Languages;Cryptography and Security;['0'];['B'];['B'];;;;;;['0'];;['0']
Digital Libraries;Programming Languages;Information Retrieval;['B'];['B'];['B'];;;;;;['B'];;['B']
Digital Libraries;Programming Languages;Information Theory;['B'];['B'];['B'];;;;;;['0'];;['B']
Digital Libraries;Programming Languages;Machine Learning;['B'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Programming Languages;Mathematical Software;['0'];['0'];['B'];;;;;;['0'];;['0']
Digital Libraries;Programming Languages;Multimedia;['B'];;;;;['B'];;['0'];['B'];['0'];
Digital Libraries;Robotics;Computation and Language;['B'];['B'];['A'];;;;;;['B'];;['0']
Digital Libraries;Robotics;Cryptography and Security;['B'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Robotics;Machine Learning;['B'];;;;;['0'];;['B'];['0'];['0'];
Digital Libraries;Robotics;Operating Systems;['A'];;;;;['0'];;['0'];['B'];['0'];
Digital Libraries;Software Engineering;Computational Complexity;['A'];;;['0'];['0'];;['0'];;['0'];;
Digital Libraries;Software Engineering;Computational Geometry;['0'];['A'];['A'];;;;;;['A'];;['0']
Digital Libraries;Software Engineering;Computer Science and Game Theory;['0'];['A'];['A'];;;;;;['A'];;['0']
Digital Libraries;Software Engineering;Logic in Computer Science;['A'];;;;;['0'];;['0'];['0'];['0'];
Digital Libraries;Software Engineering;Systems and Control;['0'];;;;;['0'];;['0'];['B'];['0'];
Digital Libraries;Sound;Information Theory;['B'];;;['0'];['B'];;['0'];;['A'];;
Digital Libraries;Sound;Logic in Computer Science;['B'];['B'];['A'];;;;;;['A'];;['0']
Digital Libraries;Sound;Symbolic Computation;['B'];['0'];['A'];;;;;;['A'];;['0']
Digital Libraries;Systems and Control;Information Retrieval;['B'];['B'];['B'];;;;;;['B'];;['B']
Discrete Mathematics;Computation and Language;Mathematical Software;['B'];;;;;['B'];;['B'];['B'];['B'];
Discrete Mathematics;Computation and Language;Numerical Analysis;['B'];['B'];['B'];;;;;;['B'];;['0']
Discrete Mathematics;Computational Complexity;Artificial Intelligence;['B'];['B'];['A'];;;;;;['A'];;['A']
Discrete Mathematics;Computational Complexity;Information Retrieval;['A'];;;;;['A'];;['0'];['A'];['B'];
Discrete Mathematics;Computational Geometry;Information Retrieval;['B'];['B'];['B'];;;;;;['A'];;['A']
Discrete Mathematics;Computer Vision and Pattern Recognition;Symbolic Computation;['B'];;;;;['A'];;['0'];['A'];['0'];
Discrete Mathematics;Cryptography and Security;Computer Science and Game Theory;['B'];['B'];['A'];;;;;;['A'];;['A']
Discrete Mathematics;Cryptography and Security;Information Retrieval;['B'];['A'];['B'];;;;;;['A'];;['A']
Discrete Mathematics;Cryptography and Security;Networking and Internet Architecture;['A'];['A'];['A'];;;;;;['A'];;['A']
Discrete Mathematics;Cryptography and Security;Systems and Control;['A'];['A'];['A'];;;;;;['A'];;['A']
Discrete Mathematics;Databases;Computation and Language;['B'];;;;;['B'];;['0'];['0'];['0'];
Discrete Mathematics;Databases;Computational Complexity;['B'];;;;;['0'];;['0'];['B'];['0'];
Discrete Mathematics;Databases;Computer Vision and Pattern Recognition;['B'];['B'];['B'];;;;;;['B'];;['B']
Discrete Mathematics;Databases;Cryptography and Security;['B'];['B'];['B'];;;;;;['B'];;['B']
Discrete Mathematics;Databases;Formal Languages and Automata Theory;['B'];;;;;['B'];;['0'];['0'];['0'];
Discrete Mathematics;Databases;Mathematical Software;['B'];;;['0'];['B'];;['B'];;['B'];;
Discrete Mathematics;Databases;Networking and Internet Architecture;['0'];;;;;['0'];;['0'];['0'];['0'];
Discrete Mathematics;Digital Libraries;Computer Vision and Pattern Recognition;['B'];;;;;['0'];;['0'];['B'];['B'];
Discrete Mathematics;Digital Libraries;Cryptography and Security;['B'];['B'];['B'];;;;;;['B'];;['B']
Discrete Mathematics;Digital Libraries;Human-Computer Interaction;['0'];['0'];['B'];;;;;;['0'];;['0']
Discrete Mathematics;Digital Libraries;Information Retrieval;['B'];['B'];['B'];;;;;;['0'];;['0']
Discrete Mathematics;Digital Libraries;Machine Learning;['B'];['B'];['B'];;;;;;['B'];;['0']
Discrete Mathematics;Digital Libraries;Multiagent Systems;['B', 'B'];['B', '0'];['B', '0'];;;;;;['0', '0'];;['0', 'B']
Discrete Mathematics;Digital Libraries;Networking and Internet Architecture;['0'];['B'];['0'];;;;;;['0'];;['0']
Discrete Mathematics;Digital Libraries;Symbolic Computation;['B'];;;;;['B'];;['0'];['B'];['0'];
Discrete Mathematics;Distributed, Parallel, and Cluster Computing;Computer Science and Game Theory;['B'];;;['0'];['0'];;['0'];;['B'];;
Discrete Mathematics;Distributed, Parallel, and Cluster Computing;Formal Languages and Automata Theory;['B'];;;['0'];['B'];;['0'];;['B'];;
Discrete Mathematics;Distributed, Parallel, and Cluster Computing;Mathematical Software;['B'];;;;;['B'];;['B'];['B'];['B'];
Discrete Mathematics;Distributed, Parallel, and Cluster Computing;Software Engineering;['0'];;;['0'];['0'];;['0'];;['0'];;
Discrete Mathematics;Distributed, Parallel, and Cluster Computing;Sound;['0'];;;['0'];['0'];;['0'];;['0'];;
Discrete Mathematics;Formal Languages and Automata Theory;Cryptography and Security;['A'];['B'];['A'];;;;;;['B'];;['B']
Discrete Mathematics;Formal Languages and Automata Theory;Graphics;['B'];;;['0'];['0'];;['0'];;['B'];;
Discrete Mathematics;Formal Languages and Automata Theory;Information Theory;['B'];;;;;['A'];;['0'];['A'];['0'];
Discrete Mathematics;Formal Languages and Automata Theory;Symbolic Computation;['B', 'B'];['B', '0'];['B', '0'];;;;;;['A', 'A'];;['0', 'B']
Discrete Mathematics;Graphics;Networking and Internet Architecture;['A'];;;;;['0'];;['A'];['A'];['0'];
Discrete Mathematics;Graphics;Symbolic Computation;['A'];;;;;['B'];;['A'];['A'];['0'];
Discrete Mathematics;Hardware Architecture;Artificial Intelligence;['B'];['B'];['B'];;;;;;['A'];;['0']
Discrete Mathematics;Hardware Architecture;Cryptography and Security;['B'];;;['B'];['0'];;['B'];;['0'];;
Discrete Mathematics;Hardware Architecture;Distributed, Parallel, and Cluster Computing;['0'];;;;;['0'];;['0'];['0'];['0'];
Discrete Mathematics;Hardware Architecture;Graphics;['B'];;;['0'];['0'];;['0'];;['B'];;
Discrete Mathematics;Hardware Architecture;Multiagent Systems;['B'];['B'];['B'];;;;;;['A'];;['0']
Discrete Mathematics;Hardware Architecture;Numerical Analysis;['B'];['B'];['B'];;;;;;['B'];;['0']
Discrete Mathematics;Hardware Architecture;Symbolic Computation;['B'];['B'];['B'];;;;;;['A'];;['0']
Discrete Mathematics;Human-Computer Interaction;Machine Learning;['B'];;;['0'];['0'];;['0'];;['0'];;
Discrete Mathematics;Human-Computer Interaction;Robotics;['B'];['B'];['0'];;;;;;['B'];;['0']
Discrete Mathematics;Human-Computer Interaction;Software Engineering;['0'];;;;;['0'];;['0'];['0'];['0'];
Discrete Mathematics;Information Retrieval;Networking and Internet Architecture;['A'];['0'];['A'];;;;;;['0'];;['0']
Discrete Mathematics;Information Retrieval;Symbolic Computation;['B'];;;['B'];['B'];;['0'];;['0'];;
Discrete Mathematics;Information Theory;Computational Complexity;['B'];;;;;['0'];;['A'];['0'];['0'];
Discrete Mathematics;Information Theory;Computer Vision and Pattern Recognition;['A'];;;['A'];['0'];;['0'];;['B'];;
Discrete Mathematics;Information Theory;Multimedia;['A'];;;;;['0'];;['A'];['0'];['0'];
Discrete Mathematics;Information Theory;Networking and Internet Architecture;['A'];;;;;['0'];;['A'];['0'];['0'];
Discrete Mathematics;Information Theory;Symbolic Computation;['B'];['A'];['B'];;;;;;['A'];;['B']
Discrete Mathematics;Logic in Computer Science;Computational Complexity;['A'];['B'];['A'];;;;;;['A'];;['A']
Discrete Mathematics;Logic in Computer Science;Computer Science and Game Theory;['B'];;;;;['0'];;['A'];['A'];['0'];
Discrete Mathematics;Logic in Computer Science;Networking and Internet Architecture;['A'];;;;;['0'];;['A'];['A'];['0'];
Discrete Mathematics;Logic in Computer Science;Symbolic Computation;['B'];['B'];['B'];;;;;;['A'];;['A']
Discrete Mathematics;Machine Learning;Computer Science and Game Theory;['A'];;;['0'];['0'];;['0'];;['B'];;
Discrete Mathematics;Machine Learning;Logic in Computer Science;['A'];;;['0'];['B'];;['0'];;['B'];;
Discrete Mathematics;Machine Learning;Networking and Internet Architecture;['A'];['A'];['A'];;;;;;['0'];;['0']
Discrete Mathematics;Machine Learning;Numerical Analysis;['B'];;;;;['0'];;['B'];['B'];['0'];
Discrete Mathematics;Mathematical Software;Symbolic Computation;['A', 'A'];;;['B', 'B'];['A', '0'];;['A', 'A'];;['A', 'A'];;
Discrete Mathematics;Multiagent Systems;Computational Complexity;['B'];;;;;['0'];;['0'];['B'];['0'];
Discrete Mathematics;Multiagent Systems;Formal Languages and Automata Theory;['A'];;;['0'];['0'];;['0'];;['B'];;
Discrete Mathematics;Multiagent Systems;Information Theory;['B'];;;['B'];['0'];;['0'];;['B'];;
Discrete Mathematics;Multiagent Systems;Machine Learning;['B'];;;;;['0'];;['0'];['B'];['B'];
Discrete Mathematics;Multiagent Systems;Robotics;['B'];;;['0'];['0'];;['0'];;['B'];;
Discrete Mathematics;Multiagent Systems;Software Engineering;['A'];;;['0'];['0'];;['0'];;['0'];;
Discrete Mathematics;Multiagent Systems;Sound;['A'];;;['0'];['0'];;['0'];;['0'];;
Discrete Mathematics;Multimedia;Information Retrieval;['B'];;;;;['0'];;['0'];['0'];['0'];
Discrete Mathematics;Multimedia;Networking and Internet Architecture;['0'];['0'];['A'];;;;;;['0'];;['0']
Discrete Mathematics;Multimedia;Numerical Analysis;['B'];['B'];['B'];;;;;;['B'];;['B']
Discrete Mathematics;Numerical Analysis;Networking and Internet Architecture;['A'];['A'];['A'];;;;;;['0'];;['A']
Discrete Mathematics;Numerical Analysis;Symbolic Computation;['A'];;;['0'];['A'];;['A'];;['A'];;
Discrete Mathematics;Operating Systems;Computational Geometry;['B'];;;;;['0'];;['B'];['B'];['B'];
Discrete Mathematics;Programming Languages;Cryptography and Security;['B'];;;;;['0'];;['0'];['B'];['0'];
