id;group;name;description;CCS1998Ids;Wikidata;DBpedia;CSO;CCS1998Names;Wikidata Description;DBpedia abstract
cs.OS;Computer Science;Operating Systems;Roughly includes material in ACM Subject Classes D.4.1, D.4.2., D.4.3, D.4.4, D.4.5, D.4.7, and D.4.9.;['D.4.1', 'D.4.2', 'D.4.3', 'D.4.4', 'D.4.5', 'D.4.7', 'D.4.9'];http://www.wikidata.org/entity/Q9135;http://dbpedia.org/resource/Operating_system;https://cso.kmi.open.ac.uk/topics/operating_systems;[('Process Management', 'Concurrency', 'Deadlocks', 'Multiprocessing/multiprogramming/multitasking', 'Mutual exclusion', 'Scheduling', 'Synchronization', 'Threads'), ('Storage Management', 'Allocation/deallocation strategies', 'Distributed memories', 'Garbage collection', 'Main memory', 'Secondary storage', 'Segmentation', 'Storage hierarchies', 'Swapping', 'Virtual memory'), ('File Systems Management', 'Access methods', 'Directory structures', 'Distributed file systems', 'File organization', 'Maintenance'), ('Communications Management', 'Buffering', 'Input/output', 'Message sending', 'Network communication', 'Terminal management'), ('Reliability', 'Backup procedures', 'Checkpoint/restart', 'Fault-tolerance', 'Verification'), ('Organization and Design', 'Batch processing systems', 'Distributed systems', 'Hierarchical design', 'Interactive systems', 'Real-time systems and embedded systems'), ('Systems Programs and Utilities', 'Command and control languages', 'Linkers', 'Loaders', 'Window managers')];software that manages computer hardware resources;An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Time-sharing operating systems schedule tasks for efficient use of the system and may also include accounting software for cost allocation of processor time, mass storage, printing, and other resources. For hardware functions such as input and output and memory allocation, the operating system acts as an intermediary between programs and the computer hardware, although the application code is usually executed directly by the hardware and frequently makes system calls to an OS function or is interrupted by it. Operating systems are found on many devices that contain a computer – from cellular phones and video game consoles to web servers and supercomputers. The dominant desktop operating system is Microsoft Windows with a market share of around 82.74%. macOS by Apple Inc. is in second place (13.23%), and the varieties of Linux are collectively in third place (1.57%). In the mobile sector (including smartphones and tablets), Android's share is up to 70% in the year 2017. According to third quarter 2016 data, Android's share on smartphones is dominant with 87.5 percent with also a growth rate of 10.3 percent per year, followed by Apple's iOS with 12.1 percent with per year decrease in market share of 5.2 percent, while other operating systems amount to just 0.3 percent. Linux distributions are dominant in the server and supercomputing sectors. Other specialized classes of operating systems, such as embedded and real-time systems, exist for many applications.
cs.PF;Computer Science;Performance;Covers performance measurement and evaluation, queueing, and simulation. Roughly includes material in ACM Subject Classes D.4.8 and K.6.2.;['D.4.8', 'K.6.2'];;;;[('Performance', 'Measurements', 'Modeling and prediction', 'Monitors', 'Operational analysis', 'Queueing theory', 'Simulation', 'Stochastic analysis'), ('Installation Management', 'Benchmarks', 'Computer selection', 'Computing equipment management', 'Performance and usage measurement', 'Pricing and resource allocation')];;
cs.PL;Computer Science;Programming Languages;"Covers programming language semantics, language features, programming approaches (such as object-oriented programming, functional programming, logic programming). Also includes material on compilers oriented towards programming languages; other material on compilers may be more appropriate in Architecture (AR). Roughly includes material in ACM Subject Classes D.1 and D.3.";['D.1', 'D.3'];http://www.wikidata.org/entity/Q9143;http://dbpedia.org/resource/Programming_Languages;https://cso.kmi.open.ac.uk/topics/programming_languages;[('PROGRAMMING TECHNIQUES', 'General', 'Applicative (Functional) Programming', 'Automatic Programming', 'Concurrent Programming', 'Sequential Programming', 'Object-oriented Programming', 'Logic Programming', 'Visual Programming', 'Miscellaneous'), ('PROGRAMMING LANGUAGES', 'General', 'Formal Definitions and Theory', 'Language Classifications', 'Language Constructs and Features', 'Processors', 'Miscellaneous')];language designed to communicate instructions to a machine;A programming language is a formal language comprising a set of instructions that produce various kinds of output. Programming languages are used in computer programming to implement algorithms. Most programming languages consist of instructions for computers. There are programmable machines that use a set of specific instructions, rather than general programming languages. Early ones preceded the invention of the digital computer, the first probably being the automatic flute player described in the 9th century by the brothers Musa in Baghdad, during the Islamic Golden Age. Since the early 1800s, programs have been used to direct the behavior of machines such as Jacquard looms, music boxes and player pianos. The programs for these machines (such as a player piano's scrolls) did not produce different behavior in response to different inputs or conditions. Thousands of different programming languages have been created, and more are being created every year. Many programming languages are written in an imperative form (i.e., as a sequence of operations to perform) while other languages use the declarative form (i.e. the desired result is specified, not how to achieve it). The description of a programming language is usually split into the two components of syntax (form) and semantics (meaning). Some languages are defined by a specification document (for example, the C programming language is specified by an ISO Standard) while other languages (such as Perl) have a dominant implementation that is treated as a reference. Some languages have both, with the basic language defined by a standard and extensions taken from the dominant implementation being common.
cs.RO;Computer Science;Robotics;Roughly includes material in ACM Subject Class I.2.9.;['I.2.9'];http://www.wikidata.org/entity/Q170978;http://dbpedia.org/resource/Robotics;https://cso.kmi.open.ac.uk/topics/robotics;[('Robotics', 'Autonomous vehicles', 'Commercial robots and applications', 'Kinematics and dynamics', 'Manipulators', 'Operator interfaces', 'Propelling mechanisms', 'Sensors', 'Workcell organization and planning')];design, construction, operation, and application of robots;"Robotics is an interdisciplinary research area at the interface of computer science and engineering. Robotics involves design, construction, operation, and use of robots. The goal of robotics is to design intelligent machines that can help and assist humans in their day-to-day lives and keep everyone safe. Robotics draws on the achievement of information engineering, computer engineering, mechanical engineering, electronic engineering and others. Robotics develops machines that can substitute for humans and replicate human actions. Robots can be used in many situations and for many purposes, but today many are used in dangerous environments (including inspection of radioactive materials, bomb detection and deactivation), manufacturing processes, or where humans cannot survive (e.g. in space, underwater, in high heat, and clean up and containment of hazardous materials and radiation). Robots can take on any form but some are made to resemble humans in appearance. This is said to help in the acceptance of a robot in certain replicative behaviors usually performed by people. Such robots attempt to replicate walking, lifting, speech, cognition, or any other human activity. Many of today's robots are inspired by nature, contributing to the field of bio-inspired robotics. The concept of creating machines that can operate autonomously dates back to classical times, but research into the functionality and potential uses of robots did not grow substantially until the 20th century. Throughout history, it has been frequently assumed by various scholars, inventors, engineers, and technicians that robots will one day be able to mimic human behavior and manage tasks in a human-like fashion. Today, robotics is a rapidly growing field, as technological advances continue; researching, designing, and building new robots serve various practical purposes, whether domestically, commercially, or militarily. Many robots are built to do jobs that are hazardous to people, such as defusing bombs, finding survivors in unstable ruins, and exploring mines and shipwrecks. Robotics is also used in STEM (science, technology, engineering, and mathematics) as a teaching aid. Robotics is a branch of engineering that involves the conception, design, manufacture, and operation of robots. This field overlaps with computer engineering, computer science (especially artificial intelligence), electronics, mechatronics, mechanical, nanotechnology and bioengineering."
cs.SC;Computer Science;Symbolic Computation;Roughly includes material in ACM Subject Class I.1.;['I.1'];http://www.wikidata.org/wiki/Q175515;http://dbpedia.org/resource/Symbolic_computation;;[('SYMBOLIC AND ALGEBRAIC MANIPULATION', 'General', 'Expressions and Their Representation', 'Algorithms', 'Languages and Systems', 'Applications', 'Miscellaneous')];;In mathematics and computer science, computer algebra, also called symbolic computation or algebraic computation, is a scientific area that refers to the study and development of algorithms and software for manipulating mathematical expressions and other mathematical objects. Although computer algebra could be considered a subfield of scientific computing, they are generally considered as distinct fields because scientific computing is usually based on numerical computation with approximate floating point numbers, while symbolic computation emphasizes exact computation with expressions containing variables that have no given value and are manipulated as symbols. Software applications that perform symbolic calculations are called computer algebra systems, with the term system alluding to the complexity of the main applications that include, at least, a method to represent mathematical data in a computer, a user programming language (usually different from the language used for the implementation), a dedicated memory manager, a user interface for the input/output of mathematical expressions, a large set of routines to perform usual operations, like simplification of expressions, differentiation using chain rule, polynomial factorization, indefinite integration, etc. Computer algebra is widely used to experiment in mathematics and to design the formulas that are used in numerical programs. It is also used for complete scientific computations, when purely numerical methods fail, as in public key cryptography, or for some non-linear problems.
cs.SD;Computer Science;Sound;Covers all aspects of computing with sound, and sound as an information channel. Includes models of sound, analysis and synthesis, audio user interfaces, sonification of data, computer music, and sound signal processing. Includes ACM Subject Class H.5.5, and intersects with H.1.2, H.5.1, H.5.2, I.2.7, I.5.4, I.6.3, J.5, K.4.2.;['H.5.5', 'H.1.2', 'H.5.1', 'H.5.2', 'I.2.7', 'I.5.4', 'I.6.3', 'J.5', 'K.4.2'];http://www.wikidata.org/entity/Q2348858;https://dbpedia.org/resource/Sound_and_music_computing;;[('Sound and Music Computing', 'Methodologies and techniques', 'Modeling', 'Signal analysis, synthesis, and processing', 'Systems'), ('User/Machine Systems', 'Human factors', 'Human information processing', 'Software psychology'), ('Multimedia Information Systems', 'Animations', 'Artificial, augmented, and virtual realities', 'Audio input/output', 'Evaluation/methodology', 'Hypertext navigation and maps', 'Video (e.g., tape, disk, DVI)'), ('User Interfaces', 'Auditory (non-speech) feedback', 'Benchmarking', 'Ergonomics', 'Evaluation/methodology', 'Graphical user interfaces (GUI)', 'Haptic I/O', 'Input devices and strategies (e.g., mouse, touchscreen)', 'Interaction styles (e.g., commands, menus, forms, direct manipulation)', 'Natural language', 'Prototyping', 'Screen design (e.g., text, graphics, color)', 'Standardization', 'Style guides', 'Theory and methods', 'Training, help, and documentation', 'User-centered design', 'User interface management systems (UIMS)', 'Voice I/O', 'Windowing systems'), ('Natural Language Processing', 'Discourse', 'Language generation', 'Language models', 'Language parsing and understanding', 'Machine translation', 'Speech recognition and synthesis', 'Text analysis'), ('Applications', 'Computer vision', 'Signal processing', 'Text processing', 'Waveform analysis'), ('Applications',), ('ARTS AND HUMANITIES', 'Architecture', 'Arts, fine and performing', 'Fine arts', 'Language translation', 'Linguistics', 'Literature', 'Music', 'Performing arts (e.g., dance, music)'), ('Social Issues', 'Abuse and crime involving computers', 'Assistive technologies for persons with disabilities', 'Employment', 'Handicapped persons/special needs')];;Sound and music computing (SMC) is a research field that studies the whole sound and music communication chain from a multidisciplinary point of view. By combining scientific, technological and artistic methodologies it aims at understanding, modeling and generating sound and music through computational approaches.
cs.SE;Computer Science;Software Engineering;Covers design tools, software metrics, testing and debugging, programming environments, etc. Roughly includes material in all of ACM Subject Classes D.2, except that D.2.4 (program verification) should probably have Logics in Computer Science as the primary subject area.;['D.2'];http://www.wikidata.org/entity/Q80993;http://dbpedia.org/resource/Software_engineering;https://cso.kmi.open.ac.uk/topics/software_engineering;[('SOFTWARE ENGINEERING', 'General', 'Requirements/Specifications', 'Design Tools and Techniques', 'Coding Tools and Techniques', 'Software/Program Verification', 'Testing and Debugging', 'Programming Environments', 'Distribution, Maintenance, and Enhancement', 'Metrics', 'Management', 'Design', 'Software Architectures', 'Interoperability', 'Reusable Software', 'Miscellaneous')];application of systematic approaches to developing software;Software engineering is the systematic application of engineering approaches to the development of software. Software engineering is a branch of computing science.
cs.SI;Computer Science;Social and Information Networks;"Covers the design, analysis, and modeling of social and information networks, including their applications for on-line information access, communication, and interaction, and their roles as datasets in the exploration of questions in these and other domains, including connections to the social and biological sciences. Analysis and modeling of such networks includes topics in ACM Subject classes F.2, G.2, G.3, H.2, and I.2; applications in computing include topics in H.3, H.4, and H.5; and applications at the interface of computing and other disciplines include topics in J.1--J.7. Papers on computer communication systems and network protocols (e.g. TCP/IP) are generally a closer fit to the Networking and Internet Architecture (cs.NI) category.";['F.2', 'G.2', 'G.3', 'H.2', 'I.2', 'H.3', 'H.4', 'H.5', 'J.1', 'J.2', 'J.3', 'J.4', 'J.5', 'J.6', 'J.7'];;;;[('ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY', 'General', 'Numerical Algorithms and Problems', 'Nonnumerical Algorithms and Problems', 'Tradeoffs between Complexity Measures', 'Miscellaneous'), ('DISCRETE MATHEMATICS', 'General', 'Combinatorics', 'Graph Theory', 'Applications', 'Miscellaneous'), ('PROBABILITY AND STATISTICS', 'Contingency table analysis', 'Correlation and regression analysis', 'Distribution functions', 'Experimental design', 'Markov processes', 'Multivariate statistics', 'Nonparametric statistics', 'Probabilistic algorithms (including Monte Carlo)', 'Queueing theory', 'Random number generation', 'Reliability and life testing', 'Renewal theory', 'Robust regression', 'Statistical computing', 'Statistical software', 'Stochastic processes', 'Survival analysis', 'Time series analysis'), ('DATABASE MANAGEMENT', 'General', 'Logical Design', 'Physical Design', 'Languages', 'Systems', 'Heterogeneous Databases', 'Database Machines', 'Database Administration', 'Database Applications', 'Miscellaneous'), ('ARTIFICIAL INTELLIGENCE', 'General', 'Applications and Expert Systems', 'Automatic Programming', 'Deduction and Theorem Proving', 'Knowledge Representation Formalisms and Methods', 'Programming Languages and Software', 'Learning', 'Natural Language Processing', 'Problem Solving, Control Methods, and Search', 'Robotics', 'Vision and Scene Understanding', 'Distributed Artificial Intelligence', 'Miscellaneous'), ('INFORMATION STORAGE AND RETRIEVAL', 'General', 'Content Analysis and Indexing', 'Information Storage', 'Information Search and Retrieval', 'Systems and Software', 'Online Information Services', 'Library Automation', 'Digital Libraries', 'Miscellaneous'), ('INFORMATION SYSTEMS APPLICATIONS', 'General', 'Office Automation', 'Types of Systems', 'Communications Applications', 'Miscellaneous'), ('INFORMATION INTERFACES AND PRESENTATION (e.g., HCI)', 'General', 'Multimedia Information Systems', 'User Interfaces', 'Group and Organization Interfaces', 'Hypertext/Hypermedia', 'Sound and Music Computing', 'Miscellaneous'), ('ADMINISTRATIVE DATA PROCESSING', 'Business', 'Education', 'Financial (e.g., EFTS)', 'Government', 'Law', 'Manufacturing', 'Marketing', 'Military'), ('PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'), ('LIFE AND MEDICAL SCIENCES', 'Biology and genetics', 'Health', 'Medical information systems'), ('SOCIAL AND BEHAVIORAL SCIENCES', 'Economics', 'Psychology', 'Sociology'), ('ARTS AND HUMANITIES', 'Architecture', 'Arts, fine and performing', 'Fine arts', 'Language translation', 'Linguistics', 'Literature', 'Music', 'Performing arts (e.g., dance, music)'), ('COMPUTER-AIDED ENGINEERING', 'Computer-aided design (CAD)', 'Computer-aided manufacturing (CAM)'), ('COMPUTERS IN OTHER SYSTEMS', 'Command and control', 'Consumer products', 'Industrial control', 'Military', 'Process control', 'Publishing', 'Real time')];;
cs.SY;Computer Science;Systems and Control;cs.SY is an alias for eess.SY. This section includes theoretical and experimental research covering all facets of automatic control systems. The section is focused on methods of control system analysis and design using tools of modeling, simulation and optimization. Specific areas of research include nonlinear, distributed, adaptive, stochastic and robust control in addition to hybrid and discrete event systems. Application areas include automotive and aerospace control systems, network control, biological systems, multiagent and cooperative control, robotics, reinforcement learning, sensor networks, control of cyber-physical and energy-related systems, and control of computing systems.;[];https://www.wikidata.org/wiki/Q959968;http://dbpedia.org/resource/Control_system;https://cso.kmi.open.ac.uk/topics/control_system;[];;A control system manages, commands, directs, or regulates the behavior of other devices or systems using control loops. It can range from a single home heating controller using a thermostat controlling a domestic boiler to large Industrial control systems which are used for controlling processes or machines. For continuously modulated control, a feedback controller is used to automatically control a process or operation. The control system compares the value or status of the process variable (PV) being controlled with the desired value or setpoint (SP), and applies the difference as a control signal to bring the process variable output of the plant to the same value as the setpoint. For sequential and combinational logic, software logic, such as in a programmable logic controller, is used.
econ.EM;Economics;Econometrics;Econometric Theory, Micro-Econometrics, Macro-Econometrics, Empirical Content of Economic Relations discovered via New Methods, Methodological Aspects of the Application of Statistical Inference to Economic Data.;[];;;;[];;
econ.GN;Economics;General Economics;General methodological, applied, and empirical contributions to economics.;[];;;;[];;
econ.TH;Economics;Theoretical Economics;Includes theoretical contributions to Contract Theory, Decision Theory, Game Theory, General Equilibrium, Growth, Learning and Evolution, Macroeconomics, Market and Mechanism Design, and Social Choice.;[];;;;[];;
eess.AS;Electrical Engineering and Systems Science;Audio and Speech Processing;"Theory and methods for processing signals representing audio, speech, and language, and their applications. This includes analysis, synthesis, enhancement, transformation, classification and interpretation of such signals as well as the design, development, and evaluation of associated signal processing systems. Machine learning and pattern analysis applied to any of the above areas is also welcome.  Specific topics of interest include: auditory modeling and hearing aids; acoustic beamforming and source localization; classification of acoustic scenes; speaker separation; active noise control and echo cancellation; enhancement; de-reverberation; bioacoustics; music signals analysis, synthesis and modification; music information retrieval;  audio for multimedia and joint audio-video processing; spoken and written language modeling, segmentation, tagging, parsing, understanding, and translation; text mining; speech production, perception, and psychoacoustics; speech analysis, synthesis, and perceptual modeling and coding; robust speech recognition; speaker recognition and characterization; deep learning, online learning, and graphical models applied to speech, audio, and language signals; and implementation aspects ranging from system architecture to fast algorithms.";[];;;;[];;
eess.IV;Electrical Engineering and Systems Science;Image and Video Processing;"Theory, algorithms, and architectures for the formation, capture, processing, communication, analysis, and display of images, video, and multidimensional signals in a wide variety of applications. Topics of interest include: mathematical, statistical, and perceptual image and video modeling and representation; linear and nonlinear filtering, de-blurring, enhancement, restoration, and reconstruction from degraded, low-resolution or tomographic data; lossless and lossy compression and coding; segmentation, alignment, and recognition; image rendering, visualization, and printing; computational imaging, including ultrasound, tomographic and magnetic resonance imaging; and image and video analysis, synthesis, storage, search and retrieval.";[];;;;[];;
eess.SP;Electrical Engineering and Systems Science;Signal Processing;"Theory, algorithms, performance analysis and applications of signal and data analysis, including physical modeling, processing, detection and parameter estimation, learning, mining, retrieval, and information extraction. The term ""signal"" includes speech, audio, sonar, radar, geophysical, physiological, (bio-) medical, image, video, and multimodal natural and man-made signals, including communication signals and data. Topics of interest include: statistical signal processing, spectral estimation and system identification; filter design, adaptive filtering / stochastic learning; (compressive) sampling, sensing, and transform-domain methods including fast algorithms; signal processing for machine learning and machine learning for signal processing applications; in-network and graph signal processing; convex and nonconvex optimization methods for signal processing applications; radar, sonar, and sensor array beamforming and direction finding; communications signal processing; low power, multi-core and system-on-chip signal processing; sensing, communication, analysis and optimization for cyber-physical systems such as power grids and the Internet of Things.";[];;;;[];;
eess.SY;Electrical Engineering and Systems Science;Systems and Control;This section includes theoretical and experimental research covering all facets of automatic control systems. The section is focused on methods of control system analysis and design using tools of modeling, simulation and optimization. Specific areas of research include nonlinear, distributed, adaptive, stochastic and robust control in addition to hybrid and discrete event systems. Application areas include automotive and aerospace control systems, network control, biological systems, multiagent and cooperative control, robotics, reinforcement learning, sensor networks, control of cyber-physical and energy-related systems, and control of computing systems.;[];;;;[];;
math.AC;Mathematics;Commutative Algebra;Commutative rings, modules, ideals, homological algebra, computational aspects, invariant theory, connections to algebraic geometry and combinatorics;[];;;;[];;
math.AG;Mathematics;Algebraic Geometry;Algebraic varieties, stacks, sheaves, schemes, moduli spaces, complex geometry, quantum cohomology;[];;;;[];;
math.AP;Mathematics;Analysis of PDEs;Existence and uniqueness, boundary conditions, linear and non-linear operators, stability, soliton theory, integrable PDE's, conservation laws, qualitative dynamics;[];;;;[];;
math.AT;Mathematics;Algebraic Topology;Homotopy theory, homological algebra, algebraic treatments of manifolds;[];;;;[];;
math.CA;Mathematics;Classical Analysis and ODEs;Special functions, orthogonal polynomials, harmonic analysis, ODE's, differential relations, calculus of variations, approximations, expansions, asymptotics;[];;;;[];;
math.CO;Mathematics;Combinatorics;Discrete mathematics, graph theory, enumeration, combinatorial optimization, Ramsey theory, combinatorial game theory;[];;;;[];;
math.CT;Mathematics;Category Theory;Enriched categories, topoi, abelian categories, monoidal categories, homological algebra;[];;;;[];;
math.CV;Mathematics;Complex Variables;Holomorphic functions, automorphic group actions and forms, pseudoconvexity, complex geometry, analytic spaces, analytic sheaves;[];;;;[];;
math.DG;Mathematics;Differential Geometry;Complex, contact, Riemannian, pseudo-Riemannian and Finsler geometry, relativity, gauge theory, global analysis;[];;;;[];;
math.DS;Mathematics;Dynamical Systems;Dynamics of differential equations and flows, mechanics, classical few-body problems, iterations, complex dynamics, delayed differential equations;[];;;;[];;
math.FA;Mathematics;Functional Analysis;Banach spaces, function spaces, real functions, integral transforms, theory of distributions, measure theory;[];;;;[];;
math.GM;Mathematics;General Mathematics;Mathematical material of general interest, topics not covered elsewhere;[];;;;[];;
math.GN;Mathematics;General Topology;Continuum theory, point-set topology, spaces with algebraic structure, foundations, dimension theory, local and global properties;[];;;;[];;
math.GR;Mathematics;Group Theory;Finite groups, topological groups, representation theory, cohomology, classification and structure;[];;;;[];;
math.GT;Mathematics;Geometric Topology;Manifolds, orbifolds, polyhedra, cell complexes, foliations, geometric structures;[];;;;[];;
math.HO;Mathematics;History and Overview;Biographies, philosophy of mathematics, mathematics education, recreational mathematics, communication of mathematics, ethics in mathematics;[];;;;[];;
math.IT;Mathematics;Information Theory;math.IT is an alias for cs.IT. Covers theoretical and experimental aspects of information theory and coding.;[];;;;[];;
math.KT;Mathematics;K-Theory and Homology;Algebraic and topological K-theory, relations with topology, commutative algebra, and operator algebras;[];;;;[];;
math.LO;Mathematics;Logic;Logic, set theory, point-set topology, formal mathematics;[];;;;[];;
math.MG;Mathematics;Metric Geometry;Euclidean, hyperbolic, discrete, convex, coarse geometry, comparisons in Riemannian geometry, symmetric spaces;[];;;;[];;
math.MP;Mathematics;Mathematical Physics;"math.MP is an alias for math-ph. Articles in this category focus on areas of research that illustrate the application of mathematics to problems in physics, develop mathematical methods for such applications, or provide mathematically rigorous formulations of existing physical theories. Submissions to math-ph should be of interest to both physically oriented mathematicians and mathematically oriented physicists; submissions which are primarily of interest to theoretical physicists or to mathematicians should probably be directed to the respective physics/math categories";[];;;;[];;
math.NA;Mathematics;Numerical Analysis;Numerical algorithms for problems in analysis and algebra, scientific computation;[];;;;[];;
math.NT;Mathematics;Number Theory;Prime numbers, diophantine equations, analytic number theory, algebraic number theory, arithmetic geometry, Galois theory;[];;;;[];;
math.OA;Mathematics;Operator Algebras;Algebras of operators on Hilbert space, C^*-algebras, von Neumann algebras, non-commutative geometry;[];;;;[];;
math.OC;Mathematics;Optimization and Control;Operations research, linear programming, control theory, systems theory, optimal control, game theory;[];;;;[];;
math.PR;Mathematics;Probability;Theory and applications of probability and stochastic processes: e.g. central limit theorems, large deviations, stochastic differential equations, models from statistical mechanics, queuing theory;[];;;;[];;
math.QA;Mathematics;Quantum Algebra;Quantum groups, skein theories, operadic and diagrammatic algebra, quantum field theory;[];;;;[];;
math.RA;Mathematics;Rings and Algebras;Non-commutative rings and algebras, non-associative algebras, universal algebra and lattice theory, linear algebra, semigroups;[];;;;[];;
math.RT;Mathematics;Representation Theory;Linear representations of algebras and groups, Lie theory, associative algebras, multilinear algebra;[];;;;[];;
math.SG;Mathematics;Symplectic Geometry;Hamiltonian systems, symplectic flows, classical integrable systems;[];;;;[];;
math.SP;Mathematics;Spectral Theory;Schrodinger operators, operators on manifolds, general differential operators, numerical studies, integral operators, discrete models, resonances, non-self-adjoint operators, random operators/matrices;[];;;;[];;
math.ST;Mathematics;Statistics Theory;Applied, computational and theoretical statistics: e.g. statistical inference, regression, time series, multivariate analysis, data analysis, Markov chain Monte Carlo, design of experiments, case studies;[];;;;[];;
astro-ph.CO;Physics;Cosmology and Nongalactic Astrophysics;Phenomenology of early universe, cosmic microwave background, cosmological parameters, primordial element abundances, extragalactic distance scale, large-scale structure of the universe. Groups, superclusters, voids, intergalactic medium. Particle astrophysics: dark energy, dark matter, baryogenesis, leptogenesis, inflationary models, reheating, monopoles, WIMPs, cosmic strings, primordial black holes, cosmological gravitational radiation;[];;;;[];;
astro-ph.EP;Physics;Earth and Planetary Astrophysics;Interplanetary medium, planetary physics, planetary astrobiology, extrasolar planets, comets, asteroids, meteorites. Structure and formation of the solar system;[];;;;[];;
astro-ph.GA;Physics;Astrophysics of Galaxies;Phenomena pertaining to galaxies or the Milky Way. Star clusters, HII regions and planetary nebulae, the interstellar medium, atomic and molecular clouds, dust. Stellar populations. Galactic structure, formation, dynamics. Galactic nuclei, bulges, disks, halo. Active Galactic Nuclei, supermassive black holes, quasars. Gravitational lens systems. The Milky Way and its contents;[];;;;[];;
astro-ph.HE;Physics;High Energy Astrophysical Phenomena;Cosmic ray production, acceleration, propagation, detection. Gamma ray astronomy and bursts, X-rays, charged particles, supernovae and other explosive phenomena, stellar remnants and accretion systems, jets, microquasars, neutron stars, pulsars, black holes;[];;;;[];;
astro-ph.IM;Physics;Instrumentation and Methods for Astrophysics;Detector and telescope design, experiment proposals. Laboratory Astrophysics. Methods for data analysis, statistical methods. Software, database design;[];;;;[];;
astro-ph.SR;Physics;Solar and Stellar Astrophysics;White dwarfs, brown dwarfs, cataclysmic variables. Star formation and protostellar systems, stellar astrobiology, binary and multiple systems of stars, stellar evolution and structure, coronas. Central stars of planetary nebulae. Helioseismology, solar neutrinos, production and detection of gravitational radiation from stellar systems;[];;;;[];;
cond-mat.dis-nn;Physics;Disordered Systems and Neural Networks;"Glasses and spin glasses; properties of random, aperiodic and quasiperiodic systems; transport in disordered media; localization; phenomena mediated by defects and disorder; neural networks";[];;;;[];;
cond-mat.mes-hall;Physics;Mesoscale and Nanoscale Physics;Semiconducting nanostructures: quantum dots, wires, and wells. Single electronics, spintronics, 2d electron gases, quantum Hall effect, nanotubes, graphene, plasmonic nanostructures;[];;;;[];;
cond-mat.mtrl-sci;Physics;Materials Science;Techniques, synthesis, characterization, structure.  Structural phase transitions, mechanical properties, phonons. Defects, adsorbates, interfaces;[];;;;[];;
cond-mat.other;Physics;Other Condensed Matter;Work in condensed matter that does not fit into the other cond-mat classifications;[];;;;[];;
cond-mat.quant-gas;Physics;Quantum Gases;Ultracold atomic and molecular gases, Bose-Einstein condensation, Feshbach resonances, spinor condensates, optical lattices, quantum simulation with cold atoms and molecules, macroscopic interference phenomena;[];;;;[];;
cond-mat.soft;Physics;Soft Condensed Matter;Membranes, polymers, liquid crystals, glasses, colloids, granular matter;[];;;;[];;
cond-mat.stat-mech;Physics;Statistical Mechanics;Phase transitions, thermodynamics, field theory, non-equilibrium phenomena, renormalization group and scaling, integrable models, turbulence;[];;;;[];;
cond-mat.str-el;Physics;Strongly Correlated Electrons;Quantum magnetism, non-Fermi liquids, spin liquids, quantum criticality, charge density waves, metal-insulator transitions;[];;;;[];;
cond-mat.supr-con;Physics;Superconductivity;Superconductivity: theory, models, experiment.  Superflow in helium;[];;;;[];;
gr-qc;Physics;General Relativity and Quantum Cosmology;General Relativity and Quantum Cosmology Areas of gravitational physics, including experiments and observations related to the detection and interpretation of gravitational waves, experimental tests of gravitational theories, computational general relativity, relativistic astrophysics, solutions to Einstein's equations and their properties, alternative theories of gravity, classical and quantum cosmology, and quantum gravity.;[];;;;[];;
hep-ex;Physics;High Energy Physics - Experiment;Description coming soon;[];;;;[];;
hep-lat;Physics;High Energy Physics - Lattice;Lattice field theory. Phenomenology from lattice field theory. Algorithms for lattice field theory.  Hardware for lattice field theory.;[];;;;[];;
hep-ph;Physics;High Energy Physics - Phenomenology;Theoretical particle physics and its interrelation with experiment. Prediction of particle physics observables: models, effective field theories, calculation techniques. Particle physics: analysis of theory through experimental results.;[];;;;[];;
hep-th;Physics;High Energy Physics - Theory;Formal aspects of quantum field theory. String theory, supersymmetry and supergravity.;[];;;;[];;
math-ph;Physics;Mathematical Physics;"Articles in this category focus on areas of research that illustrate the application of mathematics to problems in physics, develop mathematical methods for such applications, or provide mathematically rigorous formulations of existing physical theories. Submissions to math-ph should be of interest to both physically oriented mathematicians and mathematically oriented physicists; submissions which are primarily of interest to theoretical physicists or to mathematicians should probably be directed to the respective physics/math categories";[];;;;[];;
nlin.AO;Physics;Adaptation and Self-Organizing Systems;adaptation, self-organizing systems, statistical physics, fluctuating systems, stochastic processes, interacting particle systems, machine learning;[];;;;[];;
nlin.CD;Physics;Chaotic Dynamics;dynamical systems, chaos, quantum chaos, topological dynamics, cycle expansions, turbulence, propagation;[];;;;[];;
nlin.CG;Physics;Cellular Automata and Lattice Gases;computational methods, time series analysis, signal processing, wavelets, lattice gases;[];;;;[];;
nlin.PS;Physics;Pattern Formation and Solitons;pattern formation, coherent structures, solitons;[];;;;[];;
nlin.SI;Physics;Exactly Solvable and Integrable Systems;exactly solvable systems, integrable PDEs, integrable ODEs, Painleve analysis, integrable discrete maps, solvable lattice models, integrable quantum systems;[];;;;[];;
nucl-ex;Physics;Nuclear Experiment;Description coming soon;[];;;;[];;
